index,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
0,Afghanistan,0,0,0,0.0
1,Albania,89,132,54,4.9
2,Algeria,25,0,14,0.7
3,Andorra,245,138,312,12.3
4,Angola,217,57,45,5.7
5,Antigua & Barbuda,102,128,45,4.9
6,Argentina,193,25,221,7.8
7,Armenia,21,179,11,3.7
8,Australia,261,72,212,9.7
9,Austria,279,75,191,9.7
10,Azerbaijan,21,46,5,1.3
11,Bahamas,122,176,49,6.2
12,Bahrain,42,63,7,2.0
13,Bangladesh,0,0,0,0.0
14,Barbados,143,173,36,6.2
15,Belarus,142,373,42,9.9
16,Belgium,295,84,212,10.5
17,Belize,263,114,8,6.8
18,Benin,34,4,13,0.9
19,Bhutan,23,0,0,0.4
20,Bolivia,167,41,8,3.8
21,Bosnia-Herzegovina,76,173,8,4.6
22,Botswana,173,35,35,4.3
23,Brazil,245,145,16,7.2
24,Brunei,31,2,1,0.6
25,Bulgaria,231,252,94,10.2
26,Burkina Faso,25,7,7,0.7
27,Burundi,88,0,0,1.6
28,Cabo Verde,144,56,16,3.8
29,Cambodia,57,65,1,2.2
30,Cameroon,147,1,4,2.7
31,Canada,240,122,100,8.2
32,Central African Republic,17,2,1,0.4
33,Chad,15,1,1,0.3
34,Chile,130,124,172,7.6
35,China,79,192,8,5.0
36,Colombia,159,76,3,4.2
37,Comoros,1,3,1,0.1
38,Congo,76,1,9,1.5
39,Cook Islands,0,254,74,5.8
40,Costa Rica,149,87,11,4.4
41,Cote d'Ivoire,37,1,7,0.8
42,Croatia,230,87,254,10.1
43,Cuba,93,137,5,4.2
44,Cyprus,192,154,113,8.1
45,Czech Republic,361,170,134,11.8
46,Denmark,224,81,278,10.3
47,Djibouti,15,44,3,1.1
48,Dominica,52,286,26,6.5
49,Dominican Republic,193,147,9,6.2
50,DR Congo,32,3,1,0.6
51,Ecuador,162,74,3,4.2
52,Egypt,6,4,1,0.2
53,El Salvador,52,69,2,2.2
54,Equatorial Guinea,92,0,233,5.8
55,Eritrea,18,0,0,0.3
56,Estonia,224,194,59,8.5
57,Ethiopia,20,3,0,0.4
58,Fiji,77,35,1,2.0
59,Finland,263,133,97,8.7
60,France,127,151,370,11.5
61,Gabon,347,98,59,8.9
62,Gambia,8,0,1,0.2
63,Georgia,52,100,149,5.3
64,Germany,346,117,175,11.3
65,Ghana,31,3,10,0.8
66,Greece,133,112,218,8.2
67,Grenada,199,438,28,11.8
68,Guatemala,53,69,2,2.2
69,Guinea,9,0,2,0.2
70,Guinea-Bissau,28,31,21,1.4
71,Guyana,93,302,1,7.0
72,Haiti,1,326,1,5.8
73,Honduras,69,98,2,3.0
74,Hungary,234,215,185,11.2
75,Iceland,233,61,78,6.6
76,India,9,114,0,2.2
77,Indonesia,5,1,0,0.1
78,Iran,0,0,0,0.0
79,Iraq,9,3,0,0.2
80,Ireland,313,118,165,10.6
81,Israel,63,69,9,2.5
82,Italy,85,42,237,6.5
83,Jamaica,82,97,9,3.3
84,Japan,77,202,16,5.2
85,Jordan,6,21,1,0.5
86,Kazakhstan,124,246,12,6.8
87,Kenya,58,22,2,1.5
88,Kiribati,21,34,1,1.0
89,Kuwait,0,0,0,0.0
90,Kyrgyzstan,31,97,6,2.4
91,Laos,62,0,123,3.3
92,Latvia,281,216,62,9.9
93,Lebanon,20,55,31,1.9
94,Lesotho,82,29,0,2.0
95,Liberia,19,152,2,3.1
96,Libya,0,0,0,0.0
97,Lithuania,343,244,56,11.4
98,Luxembourg,236,133,271,11.4
99,Macedonia,106,27,86,3.9
100,Madagascar,26,15,4,0.8
101,Malawi,8,11,1,0.4
102,Malaysia,13,4,0,0.3
103,Maldives,0,0,0,0.0
104,Mali,5,1,1,0.1
105,Malta,149,100,120,6.5
106,Marshall Islands,0,0,0,0.0
107,Mauritania,0,0,0,0.0
108,Mauritius,98,31,18,2.6
109,Mexico,238,68,5,5.5
110,Micronesia,62,50,18,2.3
111,Moldova,109,226,18,6.3
112,Monaco,0,0,0,0.0
113,Mongolia,77,189,8,4.9
114,Montenegro,31,114,128,4.8
115,Morocco,12,6,10,0.5
116,Mozambique,47,18,5,1.2
117,Myanmar,5,1,0,0.1
118,Namibia,376,3,1,6.7
119,Nauru,49,0,8,1.0
120,Nepal,5,6,0,0.2
121,Netherlands,251,88,190,9.4
122,New Zealand,203,79,175,8.1
123,Nicaragua,78,118,1,3.5
124,Niger,3,2,1,0.1
125,Nigeria,42,5,2,0.9
126,Niue,188,200,7,7.0
127,North Korea,0,0,0,0.0
128,Norway,169,71,129,6.5
129,Oman,22,16,1,0.7
130,Pakistan,0,0,0,0.0
131,Palau,306,63,23,7.0
132,Panama,285,104,18,7.2
133,Papua New Guinea,44,39,1,1.5
134,Paraguay,213,117,74,7.2
135,Peru,163,160,21,6.1
136,Philippines,71,186,1,4.6
137,Poland,343,215,56,10.9
138,Portugal,194,67,339,10.6
139,Qatar,1,42,7,0.9
140,Romania,297,122,167,10.4
141,Russian Federation,247,326,73,11.5
142,Rwanda,43,2,0,0.8
143,Samoa,105,18,24,2.6
144,San Marino,0,0,0,0.0
145,Sao Tome & Principe,56,38,140,4.2
146,Saudi Arabia,0,5,0,0.1
147,Senegal,9,1,7,0.3
148,Serbia,283,131,127,9.6
149,Seychelles,157,25,51,4.1
150,Sierra Leone,25,3,2,0.5
151,Singapore,60,12,11,1.5
