GhoCode,YearCode,YearDisplay,RegionCode,RegionDisplay,CountryCode,country,SexCode,SexDisplay,DisplayValue,Numeric
WHOSIS_000001,2013,2013,EUR,Europe,ALB,Albania,BTSX,Both sexes,74,74.13
WHOSIS_000001,2013,2013,AFR,Africa,DZA,Algeria,BTSX,Both sexes,72,71.82955
WHOSIS_000001,2013,2013,EUR,Europe,AND,Andorra,BTSX,Both sexes,83,82.65301
WHOSIS_000001,2013,2013,AFR,Africa,AGO,Angola,BTSX,Both sexes,52,51.74093
WHOSIS_000001,2013,2013,AMR,Americas,ATG,Antigua & Barbuda,BTSX,Both sexes,75,75.378
WHOSIS_000001,2013,2013,AMR,Americas,ARG,Argentina,BTSX,Both sexes,76,76.31537
WHOSIS_000001,2013,2013,EUR,Europe,ARM,Armenia,BTSX,Both sexes,71,71.02699
WHOSIS_000001,2013,2013,WPR,Western Pacific,AUS,Australia,BTSX,Both sexes,83,82.58784
WHOSIS_000001,2013,2013,EUR,Europe,AUT,Austria,BTSX,Both sexes,81,81.31606
WHOSIS_000001,2013,2013,EUR,Europe,AZE,Azerbaijan,BTSX,Both sexes,72,72.4111
WHOSIS_000001,2013,2013,AMR,Americas,BHS,Bahamas,BTSX,Both sexes,76,75.52535
WHOSIS_000001,2013,2013,EMR,Eastern Mediterranean,BHR,Bahrain,BTSX,Both sexes,77,77.24355
WHOSIS_000001,2013,2013,AMR,Americas,BRB,Barbados,BTSX,Both sexes,78,78.14867
WHOSIS_000001,2013,2013,EUR,Europe,BLR,Belarus,BTSX,Both sexes,72,71.80493
WHOSIS_000001,2013,2013,EUR,Europe,BEL,Belgium,BTSX,Both sexes,80,80.48828
WHOSIS_000001,2013,2013,AMR,Americas,BLZ,Belize,BTSX,Both sexes,75,75.23206
WHOSIS_000001,2013,2013,AFR,Africa,BEN,Benin,BTSX,Both sexes,59,58.839
WHOSIS_000001,2013,2013,SEAR,South_East Asia,BTN,Bhutan,BTSX,Both sexes,68,68.38161
WHOSIS_000001,2013,2013,AMR,Americas,BOL,Bolivia,BTSX,Both sexes,68,67.5944
WHOSIS_000001,2013,2013,EUR,Europe,BIH,Bosnia-Herzegovina,BTSX,Both sexes,77,77.27174
WHOSIS_000001,2013,2013,AFR,Africa,BWA,Botswana,BTSX,Both sexes,64,64.15195
WHOSIS_000001,2013,2013,AMR,Americas,BRA,Brazil,BTSX,Both sexes,75,75.17133
WHOSIS_000001,2013,2013,WPR,Western Pacific,BRN,Brunei,BTSX,Both sexes,77,77.19981
WHOSIS_000001,2013,2013,EUR,Europe,BGR,Bulgaria,BTSX,Both sexes,75,74.51299
